gene_id	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DE_02	DE_03	DE_05	DE_11	DE_12	DE_13	DE_14	DE_15
TRINITY_DN1030_c0_g1_i12	HOL01	HOL03	1866.02171572826	0	699.758143398099	13.4488112166071	1.40512210490988	9.57127581269504	1.05594470372659e-21	2.06020192307013e-19	1017	1043	2909	0	0	0	0	0
TRINITY_DN1175_c0_g2_i2	HOL01	HOL03	233.354972422171	0	87.5081146583142	10.4494094151744	1.11320514954421	9.38677782747657	6.18638303412063e-21	1.0026359360299799e-18	138	295	232	0	0	0	0	0
TRINITY_DN11593_c0_g1_i3	HOL01	HOL03	198.057911824503	0	74.2717169341886	10.2121830216346	1.09009919257443	9.36812272791155	7.38340083356257e-21	1.18101641061761e-18	153	173	224	0	0	0	0	0
TRINITY_DN10897_c0_g1_i1	HOL01	HOL03	133.075219206531	0	49.903207202449	9.63850117493561	1.03080979737465	9.35041673011228	8.7303063161894e-21	1.3749222515391e-18	102	142	132	0	0	0	0	0
TRINITY_DN10570_c0_g1_i7	HOL01	HOL03	384.167330863567	0	144.062749073837	11.1683733232761	1.19960882308178	9.31001265444571	1.2781712059704499e-20	1.9286847928908197e-18	281	271	496	0	0	0	0	0
TRINITY_DN134679_c0_g1_i1	HOL01	HOL03	588.443785015612	0	220.666419380854	11.78368237511	1.26701780318187	9.30032896579477	1.4001181267276098e-20	2.09719894370937e-18	372	405	817	0	0	0	0	0
TRINITY_DN10523_c0_g1_i1	HOL01	HOL03	351.568153065314	0	131.838057399493	11.0404029241386	1.18790798918445	9.29398827574043	1.48612799350356e-20	2.20698658619415e-18	272	243	445	0	0	0	0	0
TRINITY_DN10063_c0_g1_i2	HOL01	HOL03	476.642398254286	0	178.740899345357	11.4796490249242	1.23599139262519	9.28780660886481	1.57500439578535e-20	2.33066411350237e-18	280	383	639	0	0	0	0	0
TRINITY_DN117112_c0_g2_i2	HOL01	HOL03	1962.69461735763	0	736.010481509111	13.5217783681966	1.45703528862667	9.28033690998765	1.68943505376474e-20	2.48201102395178e-18	2251	3264	440	0	0	0	0	0
TRINITY_DN1062_c0_g2_i1	HOL01	HOL03	1992.96841103054	0	747.363154136453	13.5437736780722	1.46768670678704	9.2279732557647	2.75800871362803e-20	3.9021683099998595e-18	732	1422	3179	0	0	0	0	0
TRINITY_DN12296_c0_g1_i6	HOL01	HOL03	109.830125472064	0	41.186297052024	9.36346722429009	1.01934246231297	9.18579140031467	4.08512226868598e-20	5.66214582684411e-18	112	135	72	0	0	0	0	0
TRINITY_DN102442_c0_g1_i1	HOL01	HOL03	234.835154930016	0	88.0631830987559	10.45816948263	1.13858193201646	9.18525859979901	4.10539686193571e-20	5.67740243685705e-18	148	228	277	0	0	0	0	0
TRINITY_DN11749_c0_g1_i2	HOL01	HOL03	356.868516883468	0	133.8256938313	11.0620399990376	1.2050804421847	9.1795033856687	4.3308407716540396e-20	5.94888560972738e-18	222	292	464	0	0	0	0	0
TRINITY_DN12488_c0_g1_i9	HOL01	HOL03	101.540304046326	0	38.0776140173721	9.25001005045727	1.0165439384487	9.09946899548022	9.077454554969179e-20	1.16341443180142e-17	85	132	77	0	0	0	0	0
TRINITY_DN12840_c0_g1_i8	HOL01	HOL03	279.610472976337	6.92257644912036	109.180537646827	5.35527984319209	0.589108707239362	9.09047817046809	9.860443130911029e-20	1.2558842568170501e-17	194	169	391	6	7	7	11	6
TRINITY_DN11307_c0_g1_i10	HOL01	HOL03	776.26134060174	0	291.098002725653	12.1833904688602	1.3474664448283	9.04170231149069	1.54250668206494e-19	1.87869954002673e-17	377	574	1145	0	0	0	0	0
TRINITY_DN12886_c0_g2_i1	HOL01	HOL03	230.159216650474	0	86.3097062439276	10.4290351694203	1.15681883023914	9.015270928175	1.9638443840225e-19	2.32260614861719e-17	164	185	284	0	0	0	0	0
TRINITY_DN116329_c0_g1_i1	HOL01	HOL03	2729.95188327705	0	1023.73195622889	13.9977355557276	1.55439338629887	9.00527220400576	2.1513146147917998e-19	2.53942171957592e-17	937	1586	4680	0	0	0	0	0
TRINITY_DN1014980_c0_g1_i1	HOL01	HOL03	474.990575824855	0	178.121465934321	11.4746530441032	1.28127110875464	8.95567922018963	3.37650401633449e-19	3.8377507523692e-17	257	373	662	0	0	0	0	0
TRINITY_DN12878_c0_g1_i1	HOL01	HOL03	281.051214309695	0	105.394205366135	10.7173987760841	1.19803302244526	8.94582918441538	3.6916764574918897e-19	4.16506767615701e-17	173	238	361	0	0	0	0	0
TRINITY_DN11522_c0_g1_i1	HOL01	HOL03	165.926942803442	0	62.2226035512906	9.95698439710183	1.11596101185368	8.92234073712189	4.565351245139699e-19	5.0759911675316405e-17	105	175	185	0	0	0	0	0
TRINITY_DN112008_c0_g1_i1	HOL01	HOL03	256.390358627899	0	96.1463844854621	10.5848187831147	1.19515210199918	8.85646167162242	8.259426888977719e-19	8.75427801902149e-17	179	192	330	0	0	0	0	0
TRINITY_DN124750_c0_g1_i1	HOL01	HOL03	437.19966657557	0	163.949874965839	11.3550394021973	1.28522919025242	8.83503073873316	1.00070738888841e-18	1.04262477492297e-16	225	361	606	0	0	0	0	0
TRINITY_DN108003_c0_g1_i1	HOL01	HOL03	487.642749193494	0	182.86603094756	11.5127136422235	1.30823010228417	8.80022071203091	1.3654733343429499e-18	1.37361236259199e-16	190	585	592	0	0	0	0	0
TRINITY_DN10366_c0_g1_i1	HOL01	HOL03	204.572112823988	0	76.7145423089957	10.2589505764807	1.16706854451123	8.79035822251309	1.49083839701024e-18	1.4923730835954e-16	144	163	255	0	0	0	0	0
TRINITY_DN11060_c0_g1_i1	HOL01	HOL03	208.743180259748	0	78.2786925974056	10.2880615288489	1.17797714499378	8.73366819769939	2.46543650340205e-18	2.34534218179999e-16	167	145	259	0	0	0	0	0
TRINITY_DN1018083_c0_g1_i1	HOL01	HOL03	175.556933223307	0	65.8338499587399	10.0382531493755	1.15035643320744	8.72621116342759	2.63346758131404e-18	2.47825075935548e-16	114	160	212	0	0	0	0	0
TRINITY_DN116200_c0_g1_i1	HOL01	HOL03	218.467795034538	0	81.9254231379519	10.353852744242	1.19213667650912	8.68512222487836	3.78335357165153e-18	3.41857802153522e-16	139	182	279	0	0	0	0	0
TRINITY_DN10192_c0_g1_i1	HOL01	HOL03	251.887257326163	0	94.4577214973112	10.5592924048301	1.22091869600149	8.6486450239576	5.21144938674031e-18	4.53507136050954e-16	155	202	332	0	0	0	0	0
TRINITY_DN111209_c0_g1_i1	HOL01	HOL03	96.9963757642238	0	36.3736409115839	9.18238292544292	1.0625978247478	8.64144713228854	5.5505432008899496e-18	4.769185527575329e-16	116	79	79	0	0	0	0	0
TRINITY_DN1000556_c0_g1_i1	HOL01	HOL03	218.389300342804	0	81.8959876285516	10.3533151971553	1.19948865506354	8.63144070054323	6.05839700187541e-18	5.12645822549576e-16	144	172	282	0	0	0	0	0
